AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/17 11:19:53 219,M_1-PreAMP-S_2-D_1_50 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/17 11:22:18 962,194.800,-22.115,239232727,194800355,407087357,24.215, 8.593, 8.510, 0.000, 0.000,-45.550,23.588 

2020/02/17 11:22:19 967,194.800,-21.881,244295917,194800381,405315369,24.246, 8.810, 8.733, 0.000, 0.000,-45.553,23.668 

2020/02/17 11:22:20 952,194.800,-22.037,225309202,194800390,406960961,24.258, 8.638, 8.567, 0.000, 0.000,-45.559,23.518 

2020/02/17 11:22:21 938,194.800,-22.043,245561715,194800383,406074702,24.144, 8.737, 8.676, 0.000, 0.000,-45.559,23.533 

2020/02/17 11:22:22 922,194.800,-22.033,227840707,194800362,405315316,24.136, 8.764, 8.689, 0.000, 0.000,-45.505,23.495 

2020/02/17 11:22:23 907,194.800,-22.040,229106474,194800355,408100119,24.288, 8.619, 8.515, 0.000, 0.000,-45.501,23.458 

2020/02/17 11:22:24 891,194.800,-21.955,246827449,194800371,405695194,24.249, 8.735, 8.686, 0.000, 0.000,-45.495,23.536 

2020/02/17 11:22:25 864,194.800,-21.976,227840707,194800364,408100225,24.406, 8.525, 8.504, 0.000, 0.000,-45.546,23.520 

2020/02/17 11:22:26 858,194.800,-22.115,248093247,194800376,407340680,24.089, 8.720, 8.644, 0.000, 0.000,-45.552,23.433 

2020/02/17 11:22:27 844,194.800,-21.954,229106504,194800366,405441872,24.257, 8.699, 8.649, 0.000, 0.000,-45.488,23.530 

2020/02/17 11:22:28 809,194.800,-22.113,245561683,194800375,406327866,24.116, 8.700, 8.619, 0.000, 0.000,-45.492,23.526 

2020/02/17 11:22:29 814,194.800,-22.046,227840737,194800378,406454580,24.221, 8.662, 8.592, 0.000, 0.000,-45.548,23.499 

2020/02/17 11:22:30 797,194.800,-22.056,230372271,194800357,407340627,24.240, 8.630, 8.578, 0.000, 0.000,-45.487,23.426 

2020/02/17 11:22:31 782,194.800,-22.034,248093247,194800374,405821802,24.128, 8.755, 8.687, 0.000, 0.000,-45.561,23.523 

