AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:38:38 704,M_1-PreAMP-S_3-2-D_1_25 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:39:57 885,194.803,-20.759,181768899,194801781,289616991,11.699,13.533,13.468, 0.000, 0.000,-47.387,26.614 

2020/02/12 20:39:58 869,194.802,-20.749,181515715,194801764,289490354,11.699,13.537,13.477, 0.000, 0.000,-47.375,26.612 

2020/02/12 20:39:59 833,194.803,-20.765,182908036,194801735,294300540,12.125,13.103,13.032, 0.000, 0.000,-47.390,26.603 

2020/02/12 20:40:00 839,194.802,-20.754,183414451,194801787,291642398,11.864,13.368,13.305, 0.000, 0.000,-47.393,26.625 

2020/02/12 20:40:01 822,194.802,-20.762,182781563,194801788,290123390,11.714,13.498,13.451, 0.000, 0.000,-47.392,26.616 

2020/02/12 20:40:02 797,194.801,-20.764,183034628,194801740,293794140,12.146,13.060,13.014, 0.000, 0.000,-47.389,26.607 

2020/02/12 20:40:03 792,194.801,-20.770,183541019,194801785,291515798,11.826,13.395,13.323, 0.000, 0.000,-47.374,26.589 

2020/02/12 20:40:04 776,194.802,-20.756,182781587,194801799,290249989,11.762,13.472,13.406, 0.000, 0.000,-47.392,26.621 

2020/02/12 20:40:05 763,194.801,-20.788,182908036,194801736,293667502,12.095,13.105,13.042, 0.000, 0.000,-47.394,26.611 

2020/02/12 20:40:06 745,194.803,-20.771,183414403,194801762,291895522,11.815,13.401,13.337, 0.000, 0.000,-47.375,26.521 

2020/02/12 20:40:07 728,194.803,-20.771,182654971,194801790,290503151,11.768,13.446,13.382, 0.000, 0.000,-47.387,26.602 

2020/02/12 20:40:08 713,194.799,-20.827,182781420,194801712,293161140,12.041,13.121,13.058, 0.000, 0.000,-47.377,26.527 

