AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 22:31:24 607,M_1-PreAMP-S_3-1-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 22:32:42 449,194.800,-25.465,250625690,194800716, 0.000,29.012,0.09723559,-0.00904596, 0.000, 0.000,-46.646,21.179 

2020/02/13 22:32:43 434,194.800,-25.420,232904681,194800716, 0.000,29.046,0.06245981,0.05605679, 0.000, 0.000,-46.661,21.229 

2020/02/13 22:32:44 419,194.800,-25.471,239233660,194800731, 0.000,29.012,0.07741249,-0.04295977, 0.000, 0.000,-46.654,21.177 

2020/02/13 22:32:45 403,194.800,-25.444,248094085,194800704, 0.000,29.002,0,0.01265492, 0.000, 0.000,-46.651,21.200 

2020/02/13 22:32:46 376,194.800,-25.523,239233597,194800708, 0.000,28.927,0.09091024,0.04907737, 0.000, 0.000,-46.644,21.206 

2020/02/13 22:32:47 371,194.800,-25.486,231638940,194800738, 0.000,28.995,0.03750635,-0.00230365, 0.000, 0.000,-46.644,21.153 

2020/02/13 22:32:48 356,194.800,-25.467,250625690,194800716, 0.000,29.001,0.06843888,0.01866440, 0.000, 0.000,-46.646,21.173 

2020/02/13 22:32:49 321,194.800,-25.656,249359887,194800712, 0.000,28.810,0.09186440,0.04410684, 0.000, 0.000,-46.646,21.181 

2020/02/13 22:32:50 325,194.800,-25.464,227841536,194800717, 0.000,29.003,0,0.01653003, 0.000, 0.000,-46.637,21.167 

2020/02/13 22:32:51 310,194.800,-25.537,244296774,194800720, 0.000,28.924,0.09278346,0.01308684, 0.000, 0.000,-46.648,21.105 

2020/02/13 22:32:52 294,194.800,-25.471,246828315,194800710, 0.000,28.965,0,0.00500716, 0.000, 0.000,-46.655,21.179 

2020/02/13 22:32:53 277,194.800,-25.475,234170453,194800706, 0.000,28.975,0,0.00285016, 0.000, 0.000,-46.631,21.179 

2020/02/13 22:32:54 261,194.800,-25.442,234170513,194800735, 0.000,29.032,0.07852594,0.00120047, 0.000, 0.000,-46.642,21.194 

2020/02/13 22:32:55 247,194.800,-25.466,251891492,194800721, 0.000,29.008,0,0.03094090, 0.000, 0.000,-46.636,21.164 

2020/02/13 22:32:56 209,194.800,-25.431,240499368,194800706, 0.000,29.026,0.09801027,0.01025827, 0.000, 0.000,-46.649,21.203 

2020/02/13 22:32:57 216,194.800,-25.493,231638880,194800711, 0.000,28.996,0.06917552,-0.00339839, 0.000, 0.000,-46.643,21.145 

2020/02/13 22:32:58 200,194.800,-25.424,248094182,194800739, 0.000,29.043,0,0.04563530, 0.000, 0.000,-46.637,21.207 

2020/02/13 22:32:59 185,194.800,-25.655,253157262,194800714, 0.000,28.789,0,0.04564492, 0.000, 0.000,-46.643,21.118 

2020/02/13 22:33:00 168,194.800,-25.496,234170513,194800731, 0.000,28.979,0.06517229,-0.00612750, 0.000, 0.000,-46.655,21.184 

2020/02/13 22:33:01 152,194.800,-25.435,235436315,194800741, 0.000,29.032,0.07607741,0.01155849, 0.000, 0.000,-46.651,21.210 

2020/02/13 22:33:02 139,194.800,-25.461,250625690,194800710, 0.000,28.984,0.09811102,0.05907635, 0.000, 0.000,-46.646,21.179 

2020/02/13 22:33:03 997,194.800,-25.581,240499462,194800742, 0.000,28.869,0,0.01610462, 0.000, 0.000,-46.644,21.173 

2020/02/13 22:33:04 108,194.800,-25.494,227841625,194800760, 0.000,28.970,0.07472563,0.03971227, 0.000, 0.000,-46.646,21.146 

2020/02/13 22:33:05 898,194.800,-25.417,249359920,194800721, 0.000,29.042,0,0.05233142, 0.000, 0.000,-46.640,21.217 

2020/02/13 22:33:06 748,194.800,-25.464,249359887,194800710, 0.000,29.013,0.08246097,-0.00308253, 0.000, 0.000,-46.650,21.226 

2020/02/13 22:33:07 592,194.800,-25.452,232904681,194800715, 0.000,29.015,0.08088309,0.02484014, 0.000, 0.000,-46.652,21.148 

2020/02/13 22:33:08 435,194.800,-25.442,239233691,194800751, 0.000,29.008,0,0.04101317, 0.000, 0.000,-46.659,21.211 

2020/02/13 22:33:09 280,194.800,-25.527,251891427,194800701, 0.000,28.922,0.09716570,0.01692374, 0.000, 0.000,-46.648,21.115 

2020/02/13 22:33:09 121,194.800,-25.444,241765138,194800702, 0.000,29.018,0.06861930,-0.00528607, 0.000, 0.000,-46.658,21.127 

2020/02/13 22:33:10 995,194.800,-25.395,227841655,194800767, 0.000,29.067,0,0.00415184, 0.000, 0.000,-46.633,21.233 

2020/02/13 22:33:11 981,194.800,-25.465,249359855,194800702, 0.000,29.005,0.07677986,0.01380558, 0.000, 0.000,-46.643,21.172 

2020/02/13 22:33:12 951,194.800,-25.501,248094149,194800730, 0.000,28.975,0.08706296,0.02527564, 0.000, 0.000,-46.649,21.192 

2020/02/13 22:33:13 950,194.800,-25.635,229107337,194800719, 0.000,28.828,0,0.05417730, 0.000, 0.000,-46.649,21.008 

2020/02/13 22:33:14 934,194.800,-25.424,240499493,194800751, 0.000,29.042,0.07504343,0.02267032, 0.000, 0.000,-46.641,21.212 

2020/02/13 22:33:15 919,194.800,-25.438,248094117,194800711, 0.000,29.021,0,0.02052742, 0.000, 0.000,-46.647,21.204 

2020/02/13 22:33:16 902,194.800,-25.460,237967858,194800727, 0.000,28.993,0.09427570,0.02469651, 0.000, 0.000,-46.643,21.025 

2020/02/13 22:33:17 886,194.800,-25.543,231638910,194800723, 0.000,28.908,0,0.07193262, 0.000, 0.000,-46.645,21.097 

2020/02/13 22:33:18 872,194.800,-25.446,251891460,194800712, 0.000,29.013,0.08481907,0.02487027, 0.000, 0.000,-46.643,21.191 

2020/02/13 22:33:19 833,194.800,-25.476,250625657,194800703, 0.000,28.979,0,0.02492857, 0.000, 0.000,-46.648,21.150 

2020/02/13 22:33:20 841,194.800,-25.475,231638880,194800706, 0.000,28.985,0.06721275,0.01484426, 0.000, 0.000,-46.635,21.154 

2020/02/13 22:33:21 824,194.800,-25.428,241765264,194800748, 0.000,29.047,0.07209410,-0.00387412, 0.000, 0.000,-46.638,21.205 

2020/02/13 22:33:22 811,194.800,-25.490,244296774,194800721, 0.000,28.970,0.08267768,0.03259140, 0.000, 0.000,-46.664,21.019 

2020/02/13 22:33:23 793,194.800,-25.455,236702025,194800708, 0.000,29.013,0.05591269,-0.00259023, 0.000, 0.000,-46.651,21.128 

2020/02/13 22:33:24 777,194.800,-25.453,236702056,194800723, 0.000,29.013,0.08149179,0.00310781, 0.000, 0.000,-46.634,21.175 

2020/02/13 22:33:25 764,194.800,-25.382,249359984,194800751, 0.000,29.067,0,0.07145637, 0.000, 0.000,-46.638,21.250 

2020/02/13 22:33:26 724,194.800,-25.488,237967796,194800705, 0.000,28.951,0,0.06089058, 0.000, 0.000,-46.636,21.127 

2020/02/13 22:33:27 729,194.800,-25.449,234170513,194800732, 0.000,29.025,0.06947572,-0.01486520, 0.000, 0.000,-46.645,21.190 

2020/02/13 22:33:28 714,194.800,-25.567,251891492,194800724, 0.000,28.900,0.09671914,0.03139038, 0.000, 0.000,-46.649,21.076 

2020/02/13 22:33:29 700,194.800,-25.431,246828347,194800719, 0.000,29.035,0.09551555,0.06070113, 0.000, 0.000,-46.639,21.209 

2020/02/13 22:33:30 684,194.800,-25.442,230373109,194800714, 0.000,29.037,0.08941677,-0.00422959, 0.000, 0.000,-46.643,21.176 

2020/02/13 22:33:31 668,194.800,-25.546,241765201,194800727, 0.000,28.931,0.09651096,0.00597423, 0.000, 0.000,-46.643,21.092 

2020/02/13 22:33:32 652,194.800,-25.519,249359952,194800738, 0.000,28.936,0.08802853,0.06798072, 0.000, 0.000,-46.643,21.118 

2020/02/13 22:33:33 626,194.800,-25.415,236702117,194800749, 0.000,29.037,0.09937497,0.01962216, 0.000, 0.000,-46.648,21.197 

2020/02/13 22:33:34 621,194.800,-25.439,230373199,194800754, 0.000,29.008,0.09678538,0.05380690, 0.000, 0.000,-46.641,21.196 

2020/02/13 22:33:35 606,194.800,-25.499,248094214,194800753, 0.000,28.938,0,0.05804169, 0.000, 0.000,-46.647,21.142 

2020/02/13 22:33:36 576,194.800,-25.595,248094085,194800707, 0.000,28.861,0,0.04166628, 0.000, 0.000,-46.632,21.180 

2020/02/13 22:33:37 575,194.800,-25.537,230373139,194800726, 0.000,28.920,0.09025624,0.03212472, 0.000, 0.000,-46.644,21.101 

2020/02/13 22:33:38 558,194.800,-25.464,245562608,194800745, 0.000,28.999,0.06387837,0.03677436, 0.000, 0.000,-46.648,21.178 

2020/02/13 22:33:39 543,194.800,-25.413,241765201,194800724, 0.000,29.032,0.09337632,-0.01143252, 0.000, 0.000,-46.656,21.238 

2020/02/13 22:33:40 529,194.800,-25.429,234170422,194800695, 0.000,29.050,0.04222084,-0.00957006, 0.000, 0.000,-46.650,21.100 

2020/02/13 22:33:41 511,194.800,-25.447,240499431,194800729, 0.000,29.027,0.05161445,0.06376300, 0.000, 0.000,-46.653,21.200 

2020/02/13 22:33:42 498,194.800,-25.448,248094149,194800729, 0.000,29.029,0.08910727,0.06609485, 0.000, 0.000,-46.634,21.180 

2020/02/13 22:33:43 458,194.800,-25.537,239233597,194800712, 0.000,28.927,0.07498548,0.02079506, 0.000, 0.000,-46.652,21.119 

2020/02/13 22:33:44 466,194.800,-25.522,231638970,194800748, 0.000,28.917,0.09756159,0.02674885, 0.000, 0.000,-46.654,21.126 

2020/02/13 22:33:45 451,194.800,-25.521,248094182,194800741, 0.000,28.934,0.06635652,0.00609803, 0.000, 0.000,-46.655,21.127 

2020/02/13 22:33:46 432,194.800,-25.591,248094117,194800718, 0.000,28.869,0.06081352,0.01661593, 0.000, 0.000,-46.648,21.173 

2020/02/13 22:33:47 418,194.800,-25.546,232904712,194800728, 0.000,28.915,0.09317331,0.02276790, 0.000, 0.000,-46.648,21.087 

2020/02/13 22:33:48 403,194.800,-25.412,239233691,194800750, 0.000,29.054,0.08741386,-0.00335852, 0.000, 0.000,-46.641,21.224 

2020/02/13 22:33:49 389,194.800,-25.439,248094117,194800712, 0.000,29.040,0.06812898,-0.00644357, 0.000, 0.000,-46.635,21.191 

2020/02/13 22:33:50 350,194.800,-25.585,235436223,194800707, 0.000,28.869,0.06146621,0.00934573, 0.000, 0.000,-46.637,21.166 

2020/02/13 22:33:51 355,194.800,-25.470,236702056,194800724, 0.000,29.004,0,-0.01089916, 0.000, 0.000,-46.644,21.168 

2020/02/13 22:33:52 340,194.800,-25.643,254423065,194800720, 0.000,28.809,0.05383040,0.03024776, 0.000, 0.000,-46.649,21.000 

2020/02/13 22:33:53 325,194.800,-25.606,246828315,194800713, 0.000,28.854,0.07809040,0.02246883, 0.000, 0.000,-46.644,21.115 

2020/02/13 22:33:54 309,194.800,-25.427,229107367,194800733, 0.000,29.037,0.06577533,0.00153121, 0.000, 0.000,-46.650,21.179 

2020/02/13 22:33:55 293,194.800,-25.459,249359887,194800712, 0.000,29.008,0.06398690,0.00342638, 0.000, 0.000,-46.647,21.181 

2020/02/13 22:33:56 279,194.800,-25.432,243030972,194800717, 0.000,29.023,0.09740472,0.04303539, 0.000, 0.000,-46.634,21.197 

2020/02/13 22:33:57 251,194.800,-25.447,229107367,194800735, 0.000,29.030,0.07158694,0.02245131, 0.000, 0.000,-46.629,21.161 

2020/02/13 22:33:58 245,194.800,-25.525,240499462,194800743, 0.000,28.962,0.04770850,0.01968159, 0.000, 0.000,-46.651,21.120 

2020/02/13 22:33:59 230,194.800,-25.435,250625755,194800738, 0.000,29.026,0.09439509,0.03464670, 0.000, 0.000,-46.643,21.202 

2020/02/13 22:34:00 201,194.800,-25.507,244296806,194800731, 0.000,28.971,0.07471169,0.00200028, 0.000, 0.000,-46.638,21.213 

2020/02/13 22:34:01 200,194.800,-25.554,229107397,194800743, 0.000,28.892,0.08476296,0.07428287, 0.000, 0.000,-46.658,21.098 

2020/02/13 22:34:02 185,194.800,-25.502,249359952,194800739, 0.000,28.961,0.08110824,0.05914750, 0.000, 0.000,-46.644,21.136 

2020/02/13 22:34:03 169,194.800,-25.404,243031035,194800741, 0.000,29.043,0.08223737,0.04168674, 0.000, 0.000,-46.642,21.232 

2020/02/13 22:34:04 152,194.800,-25.508,231638910,194800725, 0.000,28.949,0,0.00581399, 0.000, 0.000,-46.647,21.129 

2020/02/13 22:34:05 136,194.800,-25.403,234170574,194800760, 0.000,29.043,0.08949745,0.04798416, 0.000, 0.000,-46.641,21.232 

2020/02/13 22:34:06 123,194.800,-25.438,250625722,194800724, 0.000,29.030,0.09908460,0.02723355, 0.000, 0.000,-46.641,21.197 

2020/02/13 22:34:07 843,194.800,-25.407,239233660,194800736, 0.000,29.085,0.04876955,-0.01952485, 0.000, 0.000,-46.652,21.205 

2020/02/13 22:34:08 910,194.800,-25.450,230373199,194800756, 0.000,29.036,0,-0.02451856, 0.000, 0.000,-46.648,21.193 

2020/02/13 22:34:09 766,194.800,-25.624,254423131,194800743, 0.000,28.826,0.09803078,0.03126577, 0.000, 0.000,-46.651,21.020 

2020/02/13 22:34:10 604,194.800,-25.422,240499399,194800714, 0.000,29.024,0,0.04403580, 0.000, 0.000,-46.642,21.193 

2020/02/13 22:34:11 434,194.800,-25.441,229107337,194800724, 0.000,29.025,0.09853289,-0.01156215, 0.000, 0.000,-46.639,21.131 

2020/02/13 22:34:12 276,194.800,-25.408,250625788,194800756, 0.000,29.066,0.06896133,0.01157498, 0.000, 0.000,-46.639,21.225 

2020/02/13 22:34:13 135,194.800,-25.513,240499399,194800719, 0.000,28.928,0.09390200,0.07223893, 0.000, 0.000,-46.652,21.133 

2020/02/13 22:34:13 975,194.800,-25.561,232904681,194800720, 0.000,28.880,0.09637341,0.01558015, 0.000, 0.000,-46.658,21.256 

2020/02/13 22:34:14 980,194.800,-25.541,245562576,194800729, 0.000,28.916,0.07749746,0.04567286, 0.000, 0.000,-46.652,21.105 

2020/02/13 22:34:15 965,194.800,-25.523,245562545,194800716, 0.000,28.935,0.06295457,0.03193213, 0.000, 0.000,-46.648,21.119 

2020/02/13 22:34:16 950,194.800,-25.431,232904712,194800733, 0.000,29.029,0.07425126,0.04084291, 0.000, 0.000,-46.640,21.168 

2020/02/13 22:34:17 934,194.800,-25.544,232904802,194800766, 0.000,28.894,0,0.02022339, 0.000, 0.000,-46.643,21.088 

2020/02/13 22:34:18 919,194.800,-25.524,250625755,194800737, 0.000,28.947,0.08811117,-0.00730916, 0.000, 0.000,-46.654,21.124 

2020/02/13 22:34:19 903,194.800,-25.454,234170453,194800705, 0.000,28.995,0,0.03969992, 0.000, 0.000,-46.644,21.184 

