AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:37:26 652,194.800,-25.530,227841862,194800855, 0.000,28.950,0.06914438,0.01466049, 0.000, 0.000,-46.617,21.000 

2020/02/13 16:37:27 636,194.800,-25.574,237968198,194800869, 0.000,28.889,0.06572615,0, 0.000, 0.000,-46.628,21.048 

2020/02/13 16:37:28 622,194.800,-25.477,243031288,194800844, 0.000,28.961,0.09792857,0.03818596, 0.000, 0.000,-46.615,21.131 

2020/02/13 16:37:29 582,194.800,-25.743,234170757,194800834, 0.000,28.726,0.07347191,-0.00392107, 0.000, 0.000,-46.630,21.071 

2020/02/13 16:37:30 591,194.800,-25.666,231639241,194800865, 0.000,28.785,0,0.01593241, 0.000, 0.000,-46.631,20.958 

2020/02/13 16:37:31 575,194.800,-25.463,244297092,194800849, 0.000,28.985,0.07744212,0.01483810, 0.000, 0.000,-46.616,21.147 

2020/02/13 16:37:32 557,194.800,-25.625,230373378,194800831, 0.000,28.802,0.07756348,0.06532192, 0.000, 0.000,-46.638,20.994 

2020/02/13 16:37:33 542,194.800,-25.712,230373468,194800864, 0.000,28.734,0,0.06414112, 0.000, 0.000,-46.622,20.980 

2020/02/13 16:37:34 527,194.800,-25.566,244297060,194800834, 0.000,28.921,0.03755327,-0.04253648, 0.000, 0.000,-46.633,21.061 

2020/02/13 16:37:35 510,194.800,-25.501,226575941,194800796, 0.000,28.969,0.07021699,0.01022056, 0.000, 0.000,-46.609,21.103 

2020/02/13 16:37:36 474,194.800,-25.672,229107635,194800851, 0.000,28.771,0.07703408,0.03634103, 0.000, 0.000,-46.618,21.017 

2020/02/13 16:37:37 479,194.800,-25.661,248094440,194800842, 0.000,28.763,0.07388645,0.02650234, 0.000, 0.000,-46.641,20.973 

2020/02/13 16:37:38 464,194.800,-25.638,229107635,194800847, 0.000,28.786,0,0.01978896, 0.000, 0.000,-46.636,20.991 

2020/02/13 16:37:39 449,194.800,-25.521,229107695,194800875, 0.000,28.917,0,0.06216138, 0.000, 0.000,-46.631,20.958 

2020/02/13 16:37:40 433,194.800,-25.658,245562896,194800853, 0.000,28.780,0.08755551,0.06454970, 0.000, 0.000,-46.618,21.151 

2020/02/13 16:37:41 417,194.800,-25.472,229107576,194800829, 0.000,28.962,0,0.02718323, 0.000, 0.000,-46.614,21.136 

