AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:52:40 253,M_1-PreAMP-S_3-2-D_1_125_6H 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:54:43 373,194.803,-23.949,182402238,194802012,319368617,15.883, 5.862, 5.791, 0.000, 0.000,-47.224,23.245 

2020/02/12 20:54:44 357,194.804,-23.950,183414928,194802040,321393944,16.052, 5.683, 5.628, 0.000, 0.000,-47.223,23.244 

2020/02/12 20:54:45 331,194.804,-23.961,181895987,194802052,318102706,15.856, 5.867, 5.806, 0.000, 0.000,-47.223,23.254 

2020/02/12 20:54:46 327,194.803,-23.935,181769372,194802033,318988807,15.856, 5.892, 5.840, 0.000, 0.000,-47.226,23.333 

2020/02/12 20:54:47 312,194.804,-23.940,182782014,194802029,319621700,15.933, 5.815, 5.751, 0.000, 0.000,-47.219,23.249 

2020/02/12 20:54:48 294,194.804,-23.949,182655564,194802105,319115493,15.943, 5.791, 5.734, 0.000, 0.000,-47.223,23.247 

2020/02/12 20:54:49 280,194.804,-23.944,181516211,194802033,318735682,15.830, 5.911, 5.854, 0.000, 0.000,-47.222,23.247 

2020/02/12 20:54:50 263,194.802,-23.946,182149101,194802024,319621742,15.891, 5.860, 5.788, 0.000, 0.000,-47.227,23.251 

2020/02/12 20:54:51 248,194.803,-23.946,182149195,194802071,319875032,16.000, 5.735, 5.683, 0.000, 0.000,-47.218,23.242 

2020/02/12 20:54:52 234,194.804,-23.945,181769395,194802046,318229351,15.775, 5.964, 5.902, 0.000, 0.000,-47.227,23.250 

2020/02/12 20:54:53 217,194.803,-23.956,182149077,194802016,319495138,15.877, 5.849, 5.790, 0.000, 0.000,-47.216,23.231 

2020/02/12 20:54:54 203,194.804,-23.865,183161815,194802064,319495263,16.033, 5.788, 5.727, 0.000, 0.000,-47.221,23.327 

2020/02/12 20:54:55 176,194.803,-23.938,181769372,194802035,319875074,15.905, 5.838, 5.780, 0.000, 0.000,-47.231,23.246 

2020/02/12 20:54:56 169,194.804,-23.949,182402261,194802024,319368576,15.866, 5.867, 5.816, 0.000, 0.000,-47.222,23.243 

2020/02/12 20:54:57 154,194.803,-23.949,183161767,194802042,321647151,16.054, 5.677, 5.622, 0.000, 0.000,-47.220,23.241 

2020/02/12 20:54:58 117,194.803,-23.944,181389666,194802052,320001636,15.912, 5.827, 5.768, 0.000, 0.000,-47.221,23.254 

2020/02/12 20:54:59 123,194.804,-23.936,182022509,194802019,319115410,15.884, 5.863, 5.800, 0.000, 0.000,-47.231,23.265 

2020/02/12 20:55:00 108,194.804,-23.952,181895916,194802013,319115369,15.844, 5.886, 5.839, 0.000, 0.000,-47.223,23.241 

2020/02/12 20:55:01 710,194.803,-23.953,183794705,194802057,322533420,16.099, 5.643, 5.581, 0.000, 0.000,-47.216,23.249 

2020/02/12 20:55:02 766,194.804,-23.927,182655517,194802078,321267632,16.072, 5.685, 5.635, 0.000, 0.000,-47.224,23.266 

2020/02/12 20:55:03 611,194.804,-23.866,181516258,194802058,318482558,15.903, 5.916, 5.855, 0.000, 0.000,-47.220,23.324 

2020/02/12 20:55:04 351,194.804,-23.955,183668089,194802043,321773839,16.022, 5.708, 5.645, 0.000, 0.000,-47.228,23.256 

2020/02/12 20:55:05 304,194.804,-23.938,182908654,194802067,320761133,16.026, 5.719, 5.662, 0.000, 0.000,-47.224,23.300 

2020/02/12 20:55:06 141,194.803,-23.953,181769419,194802059,319875074,15.936, 5.796, 5.740, 0.000, 0.000,-47.223,23.241 

2020/02/12 20:55:06 996,194.804,-23.955,182781943,194801994,322153608,16.043, 5.693, 5.632, 0.000, 0.000,-47.218,23.252 

2020/02/12 20:55:07 983,194.804,-23.976,183035246,194802073,320887779,16.008, 5.700, 5.639, 0.000, 0.000,-47.227,23.335 

2020/02/12 20:55:08 966,194.804,-23.961,181769419,194802060,319368700,15.901, 5.822, 5.762, 0.000, 0.000,-47.230,23.239 

2020/02/12 20:55:09 951,194.803,-23.956,182655351,194801990,321520673,16.010, 5.729, 5.663, 0.000, 0.000,-47.226,23.240 

2020/02/12 20:55:10 936,194.804,-23.945,183035246,194802068,321394152,16.069, 5.672, 5.612, 0.000, 0.000,-47.229,23.260 

2020/02/12 20:55:11 919,194.804,-23.950,182275717,194802045,317723019,15.786, 5.948, 5.889, 0.000, 0.000,-47.229,23.249 

2020/02/12 20:55:12 906,194.804,-23.961,181895940,194802030,321647235,15.998, 5.728, 5.664, 0.000, 0.000,-47.221,23.230 

2020/02/12 20:55:13 878,194.804,-23.938,183035270,194802078,320761092,16.032, 5.725, 5.659, 0.000, 0.000,-47.225,23.255 

2020/02/12 20:55:14 872,194.803,-23.933,181896035,194802076,319368700,15.927, 5.836, 5.766, 0.000, 0.000,-47.222,23.259 

2020/02/12 20:55:15 857,194.803,-23.942,181769372,194802033,318988889,15.847, 5.895, 5.837, 0.000, 0.000,-47.227,23.254 

2020/02/12 20:55:16 820,194.803,-23.951,183288407,194802068,320634571,16.023, 5.711, 5.651, 0.000, 0.000,-47.229,23.247 

2020/02/12 20:55:17 825,194.802,-23.863,181516305,194802083,319115576,15.972, 5.850, 5.795, 0.000, 0.000,-47.227,23.334 

2020/02/12 20:55:18 810,194.803,-23.871,181769442,194802071,318102747,15.895, 5.916, 5.865, 0.000, 0.000,-47.223,23.322 

