AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/29 22:20:15 626,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/29 22:22:09 895,194.801,-20.556,179616350,194801405,369233925,13.211,13.486,13.472, 0.000, 0.000,-42.463,21.866 

2019/10/29 22:22:10 878,194.801,-20.556,179616350,194801405,369233925,13.211,13.486,13.470, 0.000, 0.000,-42.374,21.865 

2019/10/29 22:22:11 864,194.801,-20.469,179869416,194801351,367335010,13.086,13.702,13.689, 0.000, 0.000,-42.374,21.865 

2019/10/29 22:22:12 849,194.801,-20.386,180249283,194801426,368347745,13.103,13.774,13.751, 0.000, 0.000,-42.336,21.909 

2019/10/29 22:22:13 834,194.801,-20.460,179110125,194801459,370499966,13.257,13.543,13.525, 0.000, 0.000,-42.378,21.877 

2019/10/29 22:22:14 801,194.801,-20.390,179489736,194801385,367714678,13.158,13.721,13.702, 0.000, 0.000,-42.364,21.934 

2019/10/29 22:22:15 803,194.801,-20.387,179236530,194801359,365056286,12.995,13.881,13.861, 0.000, 0.000,-42.347,21.919 

2019/10/29 22:22:16 784,194.801,-20.387,179236530,194801359,365056286,12.995,13.881,13.861, 0.000, 0.000,-42.417,21.903 

2019/10/29 22:22:17 770,194.801,-20.473,178730375,194801447,367588170,13.120,13.664,13.657, 0.000, 0.000,-42.360,21.938 

2019/10/29 22:22:18 752,194.801,-20.382,179110079,194801431,368980669,13.222,13.665,13.639, 0.000, 0.000,-42.360,21.938 

2019/10/29 22:22:19 737,194.801,-20.467,179109986,194801381,367841282,13.143,13.651,13.634, 0.000, 0.000,-42.373,21.865 

2019/10/29 22:22:20 710,194.801,-20.383,179869463,194801378,368094633,13.135,13.738,13.729, 0.000, 0.000,-42.355,21.932 

2019/10/29 22:22:21 708,194.801,-20.471,178350555,194801408,370246758,13.284,13.504,13.490, 0.000, 0.000,-42.375,21.863 

