AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/09 08:18:43 250,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/09 08:21:03 113,194.801,-21.036,179363774,194801717,381893466,13.810,12.760,12.741, 0.000, 0.000,-41.630,20.538 

2019/10/09 08:21:04 984,194.801,-21.203,180503193,194801826,384298821,13.869,12.521,12.505, 0.000, 0.000,-41.711,20.451 

2019/10/09 08:21:05 844,194.801,-21.203,180503193,194801826,384298821,13.869,12.521,12.505, 0.000, 0.000,-41.738,20.490 

2019/10/09 08:21:06 661,194.801,-21.192,180503169,194801819,384298821,13.919,12.482,12.463, 0.000, 0.000,-41.738,20.490 

2019/10/09 08:21:07 514,194.801,-21.046,179237345,194801808,384172215,14.005,12.554,12.533, 0.000, 0.000,-41.680,20.579 

2019/10/09 08:21:08 348,194.801,-21.105,179996755,194801766,381513700,13.752,12.740,12.732, 0.000, 0.000,-41.633,20.472 

2019/10/09 08:21:08 991,194.801,-21.037,180629644,194801760,380880723,13.764,12.806,12.787, 0.000, 0.000,-41.613,20.520 

2019/10/09 08:21:10 495,194.801,-21.202,181262650,194801815,384551982,13.902,12.493,12.476, 0.000, 0.000,-41.728,20.470 

2019/10/09 08:21:10 990,194.801,-21.036,180376578,194801808,382653099,13.910,12.660,12.634, 0.000, 0.000,-41.621,20.530 

2019/10/09 08:21:11 976,194.801,-21.036,180376578,194801808,382653099,13.910,12.660,12.640, 0.000, 0.000,-41.733,20.488 

2019/10/09 08:21:12 957,194.801,-21.188,180123394,194801800,383792449,13.885,12.523,12.500, 0.000, 0.000,-41.733,20.488 

2019/10/09 08:21:13 944,194.801,-21.116,180123347,194801776,381513700,13.774,12.705,12.689, 0.000, 0.000,-41.649,20.477 

2019/10/09 08:21:14 927,194.801,-21.113,179870094,194801722,382146677,13.823,12.658,12.638, 0.000, 0.000,-41.645,20.476 

2019/10/09 08:21:15 908,194.801,-21.124,180123277,194801737,382020121,13.794,12.680,12.658, 0.000, 0.000,-41.613,20.432 

2019/10/09 08:21:16 894,194.801,-21.049,181009513,194801826,382146727,13.873,12.681,12.662, 0.000, 0.000,-41.623,20.519 

2019/10/09 08:21:17 879,194.801,-21.049,181009513,194801826,382146727,13.873,12.681,12.662, 0.000, 0.000,-41.627,20.542 

2019/10/09 08:21:18 866,194.801,-21.030,179490482,194801796,381133834,13.839,12.736,12.707, 0.000, 0.000,-41.655,20.571 

2019/10/09 08:21:19 847,194.801,-21.204,181009419,194801780,381893516,13.753,12.640,12.619, 0.000, 0.000,-41.723,20.463 

2019/10/09 08:21:20 833,194.801,-21.148,179743572,194801749,379868079,13.632,12.814,12.806, 0.000, 0.000,-41.707,20.503 

2019/10/09 08:21:21 790,194.801,-21.090,180503075,194801765,381260539,13.770,12.741,12.724, 0.000, 0.000,-41.634,20.489 

2019/10/09 08:21:22 802,194.801,-21.032,180250009,194801815,382020121,13.746,12.829,12.811, 0.000, 0.000,-41.612,20.524 

2019/10/09 08:21:23 788,194.801,-21.210,179870304,194801836,385311566,14.010,12.376,12.353, 0.000, 0.000,-41.726,20.460 

2019/10/09 08:21:24 770,194.801,-21.210,179870304,194801836,385311566,14.010,12.376,12.353, 0.000, 0.000,-41.635,20.466 

2019/10/09 08:21:25 753,194.801,-21.113,179743689,194801817,384805194,13.948,12.542,12.524, 0.000, 0.000,-41.635,20.466 

2019/10/09 08:21:26 740,194.801,-21.034,179490389,194801743,381640355,13.856,12.716,12.693, 0.000, 0.000,-41.627,20.538 

2019/10/09 08:21:27 725,194.801,-21.104,180503075,194801767,381893615,13.662,12.832,12.818, 0.000, 0.000,-41.634,20.474 

2019/10/09 08:21:28 680,194.801,-21.189,179363867,194801775,382652949,13.897,12.511,12.486, 0.000, 0.000,-41.727,20.482 

2019/10/09 08:21:29 692,194.801,-21.206,179490482,194801795,384298721,13.939,12.453,12.429, 0.000, 0.000,-41.713,20.451 

2019/10/09 08:21:30 679,194.801,-21.195,179996872,194801830,384298871,13.830,12.572,12.549, 0.000, 0.000,-41.710,20.460 

2019/10/09 08:21:31 661,194.801,-21.195,179996872,194801830,384298871,13.830,12.572,12.557, 0.000, 0.000,-41.647,20.555 

2019/10/09 08:21:32 644,194.801,-21.037,180249915,194801767,380627512,13.780,12.784,12.773, 0.000, 0.000,-41.647,20.555 

2019/10/09 08:21:33 628,194.801,-21.179,179996709,194801739,381513650,13.785,12.626,12.621, 0.000, 0.000,-41.727,20.492 

2019/10/09 08:21:34 616,194.801,-21.106,181009395,194801765,381640355,13.721,12.776,12.763, 0.000, 0.000,-41.625,20.463 

2019/10/09 08:21:35 594,194.801,-21.112,179743572,194801754,381133983,13.753,12.732,12.721, 0.000, 0.000,-41.621,20.453 

2019/10/09 08:21:36 583,194.801,-21.194,180629691,194801789,381134033,13.604,12.792,12.778, 0.000, 0.000,-41.707,20.456 

2019/10/09 08:21:37 566,194.801,-21.194,180629691,194801789,381134033,13.604,12.792,12.778, 0.000, 0.000,-41.627,20.465 

2019/10/09 08:21:38 553,194.801,-21.107,180756400,194801852,374678692,13.371,13.117,13.098, 0.000, 0.000,-41.691,20.464 

2019/10/09 08:21:39 536,194.801,-21.171,179870281,194801821,382779704,13.883,12.542,12.520, 0.000, 0.000,-41.754,20.527 

2019/10/09 08:21:40 520,194.801,-21.098,180123394,194801794,381260489,13.766,12.742,12.720, 0.000, 0.000,-41.655,20.501 

